Date,ICE,MCK,ORLY,AJG,AZO,CTVA
2022-05-02 04:00:00,113.48,306.8,610.65,165.85,2006.69,57.34
2022-05-03 04:00:00,114.48,307.81,603.49,165.51,1976.29,57.26
2022-05-04 04:00:00,109.86,319.76,628.08,170.37,2054.58,59.14
2022-05-05 04:00:00,101.63,315.23,603.55,164.99,1973.09,58.04
2022-05-06 04:00:00,99.81,333.99,608.4,164.48,2000.0,55.74
2022-05-09 04:00:00,96.99,326.47,610.07,160.19,1951.66,53.08
2022-05-10 04:00:00,96.47,329.83,611.81,158.25,1950.89,52.82
2022-05-11 04:00:00,94.55,332.09,607.53,157.78,1930.98,53.6
2022-05-12 04:00:00,95.5,322.01,622.34,157.48,1954.76,54.05
2022-05-13 04:00:00,98.27,324.24,635.62,162.02,2001.11,55.47
2022-05-16 04:00:00,97.31,327.83,638.83,161.14,2023.49,56.54
2022-05-17 04:00:00,99.12,333.16,648.34,164.17,2031.87,57.61
2022-05-18 04:00:00,95.11,320.65,599.87,156.71,1839.62,57.09
2022-05-19 04:00:00,95.9,319.13,601.53,155.25,1889.39,59.0
2022-05-20 04:00:00,97.62,322.86,572.57,155.0,1771.68,59.23
2022-05-23 04:00:00,98.11,327.63,579.11,158.53,1805.22,60.91
2022-05-24 04:00:00,98.36,328.8,608.18,157.76,1910.22,62.09
2022-05-25 04:00:00,97.52,333.48,615.79,157.49,1964.66,62.01
2022-05-26 04:00:00,99.53,336.42,639.15,161.02,2028.96,63.17
2022-05-27 04:00:00,102.7,334.96,647.34,165.64,2055.39,62.91
2022-05-31 04:00:00,102.39,328.69,637.17,161.94,2059.65,62.62
2022-06-01 04:00:00,101.99,322.21,624.61,160.51,2035.11,62.33
2022-06-02 04:00:00,102.9,318.58,634.12,164.37,2061.3,62.54
2022-06-03 04:00:00,100.94,316.38,631.61,162.21,2058.04,62.0
2022-06-06 04:00:00,100.86,317.66,637.8,162.0,2099.06,61.72
2022-06-07 04:00:00,101.76,321.65,634.84,163.56,2119.98,62.38
2022-06-08 04:00:00,101.38,315.02,624.83,161.18,2092.35,62.0
2022-06-09 04:00:00,99.5,312.03,619.13,156.96,2101.15,61.08
2022-06-10 04:00:00,97.78,313.34,607.44,153.0,2064.46,57.98
2022-06-13 04:00:00,96.82,306.99,594.27,151.58,2026.66,56.24
2022-06-14 04:00:00,94.05,306.52,596.69,153.23,2033.58,56.39
2022-06-15 04:00:00,95.63,307.68,599.01,152.75,2013.81,55.53
2022-06-16 04:00:00,94.85,304.02,585.0,149.05,2001.16,54.04
2022-06-17 04:00:00,90.33,300.57,586.72,149.71,1992.55,53.22
2022-06-21 04:00:00,93.81,309.38,597.35,155.21,2032.12,55.37
2022-06-22 04:00:00,93.96,311.05,608.82,157.31,2071.62,53.43
2022-06-23 04:00:00,96.68,314.66,628.19,160.04,2108.64,50.93
2022-06-24 04:00:00,97.91,321.55,639.06,165.25,2158.91,53.56
2022-06-27 04:00:00,98.68,326.24,641.12,165.23,2169.27,54.24
2022-06-28 04:00:00,96.75,321.55,630.52,163.18,2125.33,54.27
2022-06-29 04:00:00,96.41,328.06,637.13,163.2,2140.0,54.53
2022-06-30 04:00:00,94.04,326.21,631.76,163.04,2149.12,54.14
2022-07-01 04:00:00,95.23,329.53,636.08,164.63,2159.81,54.12
2022-07-05 04:00:00,96.02,322.38,647.51,166.07,2140.39,52.1
2022-07-06 04:00:00,95.5,321.54,657.75,168.34,2167.54,52.04
2022-07-07 04:00:00,96.68,321.25,661.62,167.3,2168.6,52.85
2022-07-08 04:00:00,95.87,331.2,657.88,166.76,2182.37,52.73
2022-07-11 04:00:00,94.54,328.81,655.3,165.84,2160.01,52.91
2022-07-12 04:00:00,93.34,327.38,653.29,164.82,2158.6,52.56
2022-07-13 04:00:00,94.49,325.18,667.16,164.66,2174.89,51.97
2022-07-14 04:00:00,93.62,326.49,673.78,162.74,2175.34,51.49
2022-07-15 04:00:00,95.83,330.0,683.2,165.75,2215.03,52.0
2022-07-18 04:00:00,94.88,326.03,672.74,161.88,2191.8,52.24
2022-07-19 04:00:00,96.81,329.97,689.32,166.52,2224.32,53.74
2022-07-20 04:00:00,98.44,326.6,689.96,166.57,2194.53,54.02
2022-07-21 04:00:00,99.47,327.81,685.86,169.6,2138.75,53.88
2022-07-22 04:00:00,99.11,330.44,688.2,168.23,2147.62,54.01
2022-07-25 04:00:00,98.97,336.2,685.2,169.71,2144.87,55.47
2022-07-26 04:00:00,97.64,337.67,675.35,169.99,2097.4,55.46
2022-07-27 04:00:00,97.51,339.62,689.4,173.31,2132.67,56.61
2022-07-28 04:00:00,102.56,340.12,707.01,176.06,2130.45,56.96
2022-07-29 04:00:00,101.99,341.58,703.59,178.99,2137.39,57.55
2022-08-01 04:00:00,100.4,342.42,708.99,172.52,2161.36,56.9
2022-08-02 04:00:00,100.66,335.09,708.47,172.34,2153.92,55.74
2022-08-03 04:00:00,103.02,327.1,705.37,177.24,2148.03,55.7
2022-08-04 04:00:00,107.44,337.81,706.92,176.49,2164.13,55.22
2022-08-05 04:00:00,105.02,346.69,709.01,178.51,2195.19,57.9
2022-08-08 04:00:00,104.3,347.38,712.27,179.39,2218.67,59.09
2022-08-09 04:00:00,104.91,354.77,717.02,182.75,2222.51,59.72
2022-08-10 04:00:00,106.05,359.61,719.83,185.41,2223.27,60.09
2022-08-11 04:00:00,106.63,358.76,719.41,185.2,2230.83,60.27
2022-08-12 04:00:00,109.68,365.2,731.59,189.4,2259.18,61.76
2022-08-15 04:00:00,109.6,371.45,737.96,190.15,2285.96,61.61
2022-08-16 04:00:00,111.06,373.84,742.59,190.66,2329.52,62.1
2022-08-17 04:00:00,111.7,367.37,743.76,190.85,2328.6,61.87
2022-08-18 04:00:00,112.62,368.56,736.72,191.52,2320.09,62.37
2022-08-19 04:00:00,109.09,371.01,736.55,190.7,2332.09,61.33
2022-08-22 04:00:00,107.83,368.12,724.38,188.88,2310.67,61.04
2022-08-23 04:00:00,106.45,364.02,720.09,186.35,2291.49,61.77
2022-08-24 04:00:00,106.92,363.22,711.21,187.96,2231.81,61.9
2022-08-25 04:00:00,107.01,366.89,713.73,191.08,2223.6,63.24
2022-08-26 04:00:00,103.59,356.79,698.79,187.7,2163.02,62.32
2022-08-29 04:00:00,101.59,363.02,704.77,185.06,2167.36,61.91
2022-08-30 04:00:00,100.51,364.01,698.26,182.89,2137.02,61.77
2022-08-31 04:00:00,100.85,367.0,697.12,181.57,2119.21,61.43
2022-09-01 04:00:00,102.04,363.83,706.47,181.6,2145.59,60.81
2022-09-02 04:00:00,101.28,363.82,702.7,180.47,2120.88,61.24
2022-09-06 04:00:00,99.91,360.8,707.53,180.9,2130.86,60.32
2022-09-07 04:00:00,102.3,366.96,724.41,186.58,2197.06,61.82
2022-09-08 04:00:00,103.21,370.16,728.64,187.09,2193.25,62.04
2022-09-09 04:00:00,103.4,366.21,721.02,188.42,2199.08,62.52
2022-09-12 04:00:00,104.09,363.73,727.42,187.63,2220.38,62.11
2022-09-13 04:00:00,99.86,347.89,695.68,184.81,2138.36,62.65
2022-09-14 04:00:00,99.86,341.4,689.43,185.1,2133.01,63.81
2022-09-15 04:00:00,98.39,341.02,688.87,184.52,2144.94,62.12
2022-09-16 04:00:00,97.27,346.25,693.51,179.45,2165.65,61.35
2022-09-19 04:00:00,97.02,348.95,695.28,181.39,2097.59,61.42
2022-09-20 04:00:00,94.85,345.56,701.07,179.17,2131.47,61.4
2022-09-21 04:00:00,93.61,345.47,695.425,174.32,2104.02,59.23
2022-09-22 04:00:00,94.06,346.96,693.56,172.53,2082.64,59.76
2022-09-23 04:00:00,93.24,343.27,688.23,171.83,2096.84,57.92
2022-09-26 04:00:00,91.59,342.88,693.72,169.46,2093.68,57.61
2022-09-27 04:00:00,91.5,341.47,693.19,169.73,2099.5,57.26
2022-09-28 04:00:00,93.05,348.94,717.63,170.8,2169.44,58.38
2022-09-29 04:00:00,90.75,342.0,711.76,171.14,2159.02,57.21
2022-09-30 04:00:00,90.35,339.87,703.35,171.22,2141.93,57.15
2022-10-03 04:00:00,92.82,346.74,718.19,176.58,2197.71,59.18
2022-10-04 04:00:00,94.16,355.36,729.71,180.01,2205.03,61.76
2022-10-05 04:00:00,93.41,354.37,732.09,181.76,2245.45,61.52
2022-10-06 04:00:00,93.35,350.89,732.41,179.1,2215.88,60.89
2022-10-07 04:00:00,90.02,346.68,710.77,174.31,2174.0,60.83
2022-10-10 04:00:00,90.26,347.32,724.57,176.57,2233.54,61.05
2022-10-11 04:00:00,90.79,351.55,730.9,176.13,2267.51,60.76
2022-10-12 04:00:00,90.61,345.39,727.56,174.87,2245.99,60.79
2022-10-13 04:00:00,92.47,354.47,737.98,178.66,2282.76,62.95
2022-10-14 04:00:00,90.15,352.65,731.91,170.36,2255.17,58.73
2022-10-17 04:00:00,91.78,354.49,736.27,175.08,2289.79,60.36
2022-10-18 04:00:00,92.71,360.88,742.11,176.14,2306.86,61.62
2022-10-19 04:00:00,91.63,360.66,737.72,178.05,2289.8,61.8
2022-10-20 04:00:00,90.33,359.19,730.92,173.82,2258.83,61.93
2022-10-21 04:00:00,93.05,370.64,744.07,175.37,2301.03,62.88
2022-10-24 04:00:00,93.24,379.11,768.46,179.15,2407.52,63.36
2022-10-25 04:00:00,95.16,382.43,775.73,175.42,2439.89,64.96
2022-10-26 04:00:00,93.89,385.41,777.46,175.91,2423.68,65.87
2022-10-27 04:00:00,95.63,388.07,813.22,177.53,2521.77,65.97
2022-10-28 04:00:00,96.68,394.72,836.3,188.58,2543.5,66.02
2022-10-31 04:00:00,95.57,389.37,837.17,187.08,2532.88,65.34
2022-11-01 04:00:00,94.02,382.04,834.0,187.42,2535.0,67.11
2022-11-02 04:00:00,92.63,389.79,815.11,185.35,2478.68,66.91
2022-11-03 04:00:00,95.47,397.58,819.37,187.35,2478.46,66.98
2022-11-04 04:00:00,96.62,396.65,815.74,188.39,2465.1,65.37
2022-11-07 05:00:00,97.5,395.8,830.2,191.99,2505.01,66.04
2022-11-08 05:00:00,99.43,390.77,833.51,192.39,2495.6,67.19
2022-11-09 05:00:00,97.26,386.22,828.7,188.58,2464.89,67.05
2022-11-10 05:00:00,102.54,370.32,843.85,193.0,2467.66,67.21
2022-11-11 05:00:00,104.32,356.21,815.6,186.0,2408.99,64.77
2022-11-14 05:00:00,104.1,361.08,824.92,185.77,2446.88,66.73
2022-11-15 05:00:00,105.05,353.68,825.12,187.78,2425.6,66.72
2022-11-16 05:00:00,104.02,363.2,833.98,189.51,2450.51,65.35
2022-11-17 05:00:00,104.1,366.55,829.98,190.27,2420.82,65.43
2022-11-18 05:00:00,104.21,369.73,838.27,194.33,2460.84,65.2
2022-11-21 05:00:00,105.35,368.79,846.39,195.75,2501.0,65.15
2022-11-22 05:00:00,106.03,377.73,852.13,197.23,2528.81,66.09
2022-11-23 05:00:00,106.94,380.75,850.82,197.32,2516.58,65.8
2022-11-25 05:00:00,107.12,383.34,855.97,199.29,2562.12,66.33
2022-11-28 05:00:00,105.08,380.34,852.56,196.43,2545.98,64.93
2022-11-29 05:00:00,105.34,381.78,849.73,195.68,2556.05,65.57
2022-11-30 05:00:00,108.31,381.68,864.54,199.11,2579.0,67.16
2022-12-01 05:00:00,109.53,379.72,857.18,199.72,2552.97,66.25
2022-12-02 05:00:00,109.25,386.85,858.41,201.26,2571.59,67.31
2022-12-05 05:00:00,107.09,382.44,843.1,196.83,2526.92,64.36
2022-12-06 05:00:00,105.74,378.04,829.66,195.98,2456.92,63.66
2022-12-07 05:00:00,103.53,385.51,828.79,193.96,2455.26,63.76
2022-12-08 05:00:00,104.44,381.64,836.36,195.03,2488.9,63.74
2022-12-09 05:00:00,103.33,371.41,827.8,191.83,2454.99,62.99
2022-12-12 05:00:00,105.26,377.75,834.35,193.74,2451.95,62.29
2022-12-13 05:00:00,106.38,371.09,818.76,193.85,2393.46,62.64
2022-12-14 05:00:00,103.93,372.31,814.5,193.11,2360.47,61.7
2022-12-15 05:00:00,102.22,368.28,807.2,188.1,2358.5,60.23
2022-12-16 05:00:00,100.76,372.64,811.77,186.35,2380.45,59.78
2022-12-19 05:00:00,100.28,375.54,816.43,185.09,2379.17,58.3
2022-12-20 05:00:00,100.39,375.55,823.63,186.89,2384.15,58.89
2022-12-21 05:00:00,102.55,380.46,833.62,189.48,2430.48,59.39
2022-12-22 05:00:00,102.46,381.79,823.78,188.03,2403.86,58.9
2022-12-23 05:00:00,102.81,383.67,833.55,188.41,2430.65,59.38
2022-12-27 05:00:00,102.11,380.19,843.84,189.28,2454.32,59.76
2022-12-28 05:00:00,102.27,377.51,844.62,187.95,2461.63,58.63
2022-12-29 05:00:00,104.1,375.12,843.66,190.17,2464.38,58.98
2022-12-30 05:00:00,102.59,375.12,844.03,188.54,2466.18,58.78
2023-01-03 05:00:00,103.23,374.33,840.72,187.26,2431.06,58.93
2023-01-04 05:00:00,103.93,374.01,826.74,189.74,2445.46,59.69
2023-01-05 05:00:00,102.58,374.05,834.29,186.44,2416.57,59.04
2023-01-06 05:00:00,104.9,386.05,842.52,192.02,2486.64,61.01
2023-01-09 05:00:00,105.24,381.96,828.71,191.76,2441.75,61.11
2023-01-10 05:00:00,106.65,382.67,826.88,192.68,2435.52,61.75
2023-01-11 05:00:00,108.69,380.8,825.5,195.76,2433.23,62.08
2023-01-12 05:00:00,109.03,380.84,810.85,194.99,2363.0,62.58
2023-01-13 05:00:00,107.63,381.81,815.47,196.55,2368.88,62.72
2023-01-17 05:00:00,107.41,383.47,809.74,195.65,2355.88,62.7
2023-01-18 05:00:00,107.67,378.4,805.08,191.99,2344.93,61.51
2023-01-19 05:00:00,106.92,378.72,793.73,190.89,2327.54,62.22
2023-01-20 05:00:00,108.48,378.04,793.38,193.9,2326.61,62.36
2023-01-23 05:00:00,108.67,375.03,794.4,195.88,2318.96,61.9
2023-01-24 05:00:00,106.25,376.5,799.09,197.01,2341.56,62.51
2023-01-25 05:00:00,106.49,376.05,800.47,197.15,2357.81,63.13
2023-01-26 05:00:00,108.19,384.12,800.63,197.25,2415.27,63.13
2023-01-27 05:00:00,107.94,379.2,771.17,193.81,2369.34,63.83
2023-01-30 05:00:00,106.66,378.69,789.63,195.3,2428.58,62.53
2023-01-31 05:00:00,107.55,378.68,792.35,195.72,2438.85,64.45
2023-02-01 05:00:00,109.01,370.98,807.93,196.28,2495.68,64.48
2023-02-02 05:00:00,108.33,366.48,805.66,194.68,2443.55,62.0
2023-02-03 05:00:00,107.66,362.58,794.84,193.49,2398.51,61.5
2023-02-06 05:00:00,108.32,358.13,809.45,194.55,2425.88,60.7
2023-02-07 05:00:00,109.35,363.61,801.02,197.47,2419.81,60.71
2023-02-08 05:00:00,109.25,366.68,787.36,196.15,2424.36,61.88
2023-02-09 05:00:00,107.54,362.36,817.0,193.33,2490.28,62.6
2023-02-10 05:00:00,108.71,368.07,825.32,195.06,2513.69,64.47
2023-02-13 05:00:00,109.19,366.96,849.49,195.22,2543.51,62.47
2023-02-14 05:00:00,108.4,365.85,861.0,188.25,2546.27,62.18
2023-02-15 05:00:00,108.64,363.64,861.23,190.33,2580.27,62.11
2023-02-16 05:00:00,107.13,363.75,862.0,188.63,2571.35,62.75
2023-02-17 05:00:00,107.11,366.86,873.01,188.6,2605.62,61.81
2023-02-21 05:00:00,104.16,361.51,860.13,186.55,2573.14,60.06
2023-02-22 05:00:00,104.29,360.7,842.51,186.29,2567.36,61.94
2023-02-23 05:00:00,103.76,360.33,841.16,185.46,2571.46,62.0
2023-02-24 05:00:00,102.51,359.14,831.82,184.73,2540.56,61.68
2023-02-27 05:00:00,101.51,355.35,845.96,184.9,2572.25,62.11
2023-02-28 05:00:00,101.8,349.81,830.1,187.35,2486.54,62.29
2023-03-01 05:00:00,100.9,351.75,824.22,187.78,2456.37,62.15
2023-03-02 05:00:00,102.71,347.34,840.89,187.02,2485.63,63.55
2023-03-03 05:00:00,102.48,345.67,838.03,189.03,2497.34,63.7
2023-03-06 05:00:00,103.24,347.89,839.44,190.88,2520.0,63.25
2023-03-07 05:00:00,102.96,337.33,828.72,189.03,2474.83,62.97
2023-03-08 05:00:00,102.61,338.28,830.56,188.98,2459.57,62.2
2023-03-09 05:00:00,100.1,335.97,822.31,185.45,2422.19,59.92
2023-03-10 05:00:00,95.39,336.2,819.92,182.76,2421.39,58.89
2023-03-13 04:00:00,97.67,335.4,818.23,179.97,2429.86,58.62
2023-03-14 04:00:00,98.85,336.5,821.23,183.35,2427.41,58.92
2023-03-15 04:00:00,97.52,335.35,818.26,177.09,2415.68,56.85
2023-03-16 04:00:00,99.23,339.92,819.52,183.6,2413.32,56.96
2023-03-17 04:00:00,97.0,339.35,797.87,180.0,2365.0,56.61
2023-03-20 04:00:00,98.04,345.25,816.06,182.46,2391.17,57.62
2023-03-21 04:00:00,99.72,347.47,819.63,183.88,2394.95,58.51
2023-03-22 04:00:00,97.4,341.82,808.97,180.54,2349.3,57.44
2023-03-23 04:00:00,96.53,335.83,801.38,184.44,2307.82,56.81
2023-03-24 04:00:00,97.49,346.56,810.76,185.66,2329.4,56.84
2023-03-27 04:00:00,98.05,349.4,819.04,186.13,2368.55,57.7
2023-03-28 04:00:00,99.1,354.48,828.85,186.52,2405.22,58.1
2023-03-29 04:00:00,101.67,357.16,832.08,189.0,2395.37,59.94
2023-03-30 04:00:00,102.73,357.78,841.5,189.67,2406.19,59.95
2023-03-31 04:00:00,104.29,356.05,848.98,191.31,2458.15,60.31
2023-04-03 04:00:00,105.42,363.77,867.95,193.26,2511.54,61.0
2023-04-04 04:00:00,106.04,362.99,864.44,193.92,2502.05,60.4
2023-04-05 04:00:00,106.22,373.17,858.35,195.28,2494.44,60.72
2023-04-06 04:00:00,108.25,370.09,861.13,197.37,2530.68,59.8
2023-04-10 04:00:00,106.38,370.77,869.75,195.61,2554.44,60.29
2023-04-11 04:00:00,106.13,366.17,871.04,196.79,2559.54,60.93
2023-04-12 04:00:00,107.09,362.56,877.35,198.27,2598.89,61.79
2023-04-13 04:00:00,107.51,364.32,887.95,199.7,2618.65,62.72
2023-04-14 04:00:00,107.51,362.0,892.27,200.45,2638.32,62.13
2023-04-17 04:00:00,107.99,363.28,897.28,203.21,2665.41,62.77
2023-04-18 04:00:00,107.49,360.26,909.92,206.62,2681.65,62.97
2023-04-19 04:00:00,108.34,355.55,899.14,204.15,2663.16,62.25
2023-04-20 04:00:00,107.76,359.27,905.36,207.88,2701.84,61.89
2023-04-21 04:00:00,108.35,359.86,903.81,207.77,2681.41,61.48
2023-04-24 04:00:00,107.93,361.92,907.0,207.42,2677.12,61.51
2023-04-25 04:00:00,106.34,363.29,897.76,207.19,2678.34,60.53
2023-04-26 04:00:00,104.61,359.24,894.2,205.44,2644.83,59.64
2023-04-27 04:00:00,107.42,363.81,915.67,209.05,2660.73,60.67
2023-04-28 04:00:00,108.93,364.24,917.31,208.06,2663.31,61.12
2023-05-01 04:00:00,108.62,354.01,929.6,210.52,2679.54,61.46
2023-05-02 04:00:00,107.11,361.0,936.52,210.1,2702.89,60.64
2023-05-03 04:00:00,104.83,354.42,931.67,209.13,2677.58,60.0
2023-05-04 04:00:00,106.75,355.04,933.62,210.83,2661.6,56.88
2023-05-05 04:00:00,108.31,365.87,940.78,213.82,2691.58,58.25
